,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.0,Teste,0,21667341.701323338
1,GLM_Tweedie_Valor_1.0,Teste,1,27352605.760529865
2,GLM_Tweedie_Valor_1.0,Teste,2,32221519.452133
3,GLM_Tweedie_Valor_1.0,Teste,3,19782696.25712544
4,GLM_Tweedie_Valor_1.0,Teste,4,44688283.7270714
5,GLM_Tweedie_Valor_1.0,Teste,5,15568358.107809683
6,GLM_Tweedie_Valor_1.0,Teste,6,32097339.9718324
7,GLM_Tweedie_Valor_1.0,Teste,7,22673173.270591825
8,GLM_Tweedie_Valor_1.0,Teste,8,33991132.330202684
9,GLM_Tweedie_Valor_1.0,Teste,9,39558490.44007506
10,GLM_Tweedie_Valor_1.0,Treino,0,28613786.903069135
11,GLM_Tweedie_Valor_1.0,Treino,1,28007738.310340624
12,GLM_Tweedie_Valor_1.0,Treino,2,27213485.339802578
13,GLM_Tweedie_Valor_1.0,Treino,3,29065757.967632983
14,GLM_Tweedie_Valor_1.0,Treino,4,26018631.429171357
15,GLM_Tweedie_Valor_1.0,Treino,5,29558858.828196578
16,GLM_Tweedie_Valor_1.0,Treino,6,27780456.404623624
17,GLM_Tweedie_Valor_1.0,Treino,7,28466190.432736333
18,GLM_Tweedie_Valor_1.0,Treino,8,27415668.180649973
19,GLM_Tweedie_Valor_1.0,Treino,9,26952889.022165895
