Nome,Tipo,Iteracao,MSE
500,Teste,0,19852022.493376583
500,Teste,1,26894500.6269621
500,Teste,2,34309485.21819556
500,Teste,3,19683845.025898166
500,Teste,4,45973103.21552592
500,Teste,5,14252025.424625447
500,Teste,6,1215189624688.3184
500,Teste,7,55053182.59587256
500,Teste,8,29513216.04694949
500,Teste,9,5201119650.377783
500,Teste,10,19800262.93906413
500,Teste,11,25732188.70181608
500,Teste,12,65311550.66824844
500,Teste,13,209440131.75111225
500,Teste,14,41042934.52246541
500,Teste,15,17559762.54126194
500,Teste,16,26809463.075086333
500,Teste,17,21406374.091294102
500,Teste,18,29932291.470364936
500,Teste,19,38772861.01189767
500,Teste,20,144.14092530759277
500,Teste,21,31.132604921813645
500,Teste,22,16.451556202716663
500,Teste,23,8.87826119428766
500,Teste,24,9.239984726007332
500,Teste,25,18.55169075190745
500,Teste,26,104.93573998020618
500,Teste,27,8.825103766348596
500,Teste,28,148.23617317542372
500,Teste,29,9.04850354723477
500,Treino,0,24945023.84501904
500,Treino,1,22387402.45140076
500,Treino,2,24287239.347925708
500,Treino,3,22403652.748219077
500,Treino,4,23084057.513185345
500,Treino,5,26544308.383075
500,Treino,6,22001495.390130643
500,Treino,7,24828561.572931223
500,Treino,8,24356786.12572886
500,Treino,9,23643383.720235854
500,Treino,10,25343316.43706582
500,Treino,11,24564715.417364098
500,Treino,12,22997088.27536307
500,Treino,13,25421127.02742976
500,Treino,14,22500416.63752904
500,Treino,15,26063651.356770333
500,Treino,16,21995593.547858182
500,Treino,17,23107720.24602963
500,Treino,18,23798956.0939858
500,Treino,19,24200621.882985774
500,Treino,20,7.814465364920258
500,Treino,21,7.836413916820499
500,Treino,22,7.789808151426745
500,Treino,23,7.794011557531807
500,Treino,24,7.769168959802674
500,Treino,25,7.88275210164932
500,Treino,26,7.820842491433376
500,Treino,27,8.187541473189912
500,Treino,28,7.789372322375998
500,Treino,29,7.764555785322013
