Nome,Tipo,Iteracao,MSE
1,Teste,0,20016551.524576455
1,Teste,1,25052057.918153465
1,Teste,2,33071743.597898882
1,Teste,3,17483537.845873326
1,Teste,4,40164511.83728763
1,Teste,5,12437389.606621725
1,Teste,6,26124068.990881354
1,Teste,7,20641833.301481076
1,Teste,8,26882680.215418864
1,Teste,9,34581638.44118097
1,Teste,10,20016551.524576455
1,Teste,11,25052057.918153465
1,Teste,12,33071743.597898882
1,Teste,13,17483537.845873326
1,Teste,14,40164511.83728763
1,Teste,15,12437389.606621725
1,Teste,16,26124068.990881354
1,Teste,17,20641833.301481076
1,Teste,18,26882680.215418864
1,Teste,19,34581638.44118097
1,Teste,20,8.51297238136086
1,Teste,21,7.988265700468288
1,Teste,22,8.155194991177503
1,Teste,23,8.246802411205069
1,Teste,24,8.394947017476763
1,Teste,25,7.920516151543762
1,Teste,26,7.83872270582563
1,Teste,27,7.581004650387093
1,Teste,28,8.130779835670436
1,Teste,29,8.369110162311465
1,Treino,0,26231539.81683616
1,Treino,1,25669674.43442087
1,Treino,2,24777274.626976702
1,Treino,3,26510839.279256266
1,Treino,4,23989321.094584912
1,Treino,5,27069904.659715634
1,Treino,6,25549511.18219627
1,Treino,7,26174445.267212655
1,Treino,8,25465455.610412918
1,Treino,9,24611264.85301461
1,Treino,10,26231539.81683616
1,Treino,11,25669674.43442087
1,Treino,12,24777274.626976702
1,Treino,13,26510839.279256266
1,Treino,14,23989321.094584912
1,Treino,15,27069904.659715634
1,Treino,16,25549511.18219627
1,Treino,17,26174445.267212655
1,Treino,18,25465455.610412918
1,Treino,19,24611264.85301461
1,Treino,20,8.017331601501386
1,Treino,21,8.066022909871162
1,Treino,22,8.046097894749867
1,Treino,23,8.03638288156169
1,Treino,24,8.048986152384588
1,Treino,25,8.073518522540665
1,Treino,26,8.081270438278244
1,Treino,27,8.111791617453111
1,Treino,28,8.049306901074887
1,Treino,29,8.022465838316776
